titre,prix,emplacement,type_de_vente,salon,chambre,toilette,surface,lien
Appartement à vendre 130 m² à Kénitra,830 000 DH,Kénitra,"Appartements, à vendre",1,3,3,130,https://www.avito.ma/fr/bir_rami_ouest/appartements/Appartement_%C3%A0_vendre_130_m%C2%B2_%C3%A0_K%C3%A9nitra_54572343.htm
Porte blindee,3 200 DH,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/oulfa/porte_et_fen%C3%AAtre/Porte_blindee_55716462.htm
APPARTEMENT AVEC VUE PANORAMIQUE À TÉTOUAN.,NaN,Tétouan,"Appartements, à vendre",2,NaN,NaN,92,https://www.avito.ma/fr/autre_secteur/appartements/APPARTEMENT_AVEC_VUE_PANORAMIQUE_%C3%80_T%C3%89TOUAN__54012990.htm
Belle appartement près acima gueliz,300 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/gu%C3%A9liz/locations_de_vacances/Belle_appartement_pr%C3%A8s_acima_gueliz__55709687.htm
Luxueux Appartement Meublé- Au Cœur de Tanger,12 000 DH,Tanger,NaN,2,NaN,NaN,106,https://www.avito.ma/fr/castilla/appartements/Luxueux_Appartement_Meubl%C3%A9__Au_C_ur_de_Tanger_55659842.htm
Appartement à louer 65 m² à Casablanca,6 700 DH,Casablanca,NaN,1,NaN,NaN,65,https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_louer_65_m%C2%B2_%C3%A0_Casablanca_55724192.htm
Appartement à vendre 96 m² à Casablanca,620 000 DH,Casablanca,"Appartements, à vendre",2,2,2,96,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_%C3%A0_vendre_96_m%C2%B2_%C3%A0_Casablanca_54206818.htm
Appartement pour famille,299 DH /Nuit,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/al_fida/locations_de_vacances/Appartement__pour_famille_52228490.htm
Appartement à vendre 101 m² à El Mansouria,1 250 000 DH,El Mansouria,"Appartements, à vendre",1,3,2,101,https://www.avito.ma/fr/el_mansouria/appartements/Appartement_%C3%A0_vendre_101_m%C2%B2_%C3%A0_El_Mansouria_55188302.htm
appartement à vendre ouilfa,990 000 DH,Casablanca,"Appartements, à vendre",1,3,2,99,https://www.avito.ma/fr/oulfa/appartements/appartement_%C3%A0_vendre_ouilfa__54305386.htm
Appartement LDV484 location de vacances à Agadir,NaN,Agadir,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/sonaba/locations_de_vacances/Appartement_LDV484_location_de_vacances_%C3%A0_Agadir_53119989.htm
Appartement location de vacances à Marrakech,1 100 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/centre_ville/locations_de_vacances/_Appartement_location_de_vacances_%C3%A0_Marrakech_55190953.htm
Appartement à vendre 90 m² à Rabat,1 500 000 DH,Rabat,"Appartements, à vendre",2,2,1,90,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_vendre_90_m%C2%B2_%C3%A0_Rabat_55171833.htm
appartement pour location ( palmeraie),600 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/autre_secteur/locations_de_vacances/appartement_pour_location___palmeraie__55579010.htm
