titre,prix,emplacement,type_de_vente,salon,chambre,toilette,surface,lien
Appartement à vendre 40 m² à Casablanca,780 000 DH,Casablanca,"Appartements, à vendre",1,1,1,40,https://www.avito.ma/fr/bourgogne/appartements/Appartement_%C3%A0_vendre_40_m%C2%B2_%C3%A0_Casablanca_54767502.htm
Appartement 170 m² à Casablanca,NaN,Casablanca,"Appartements, à vendre",1,NaN,NaN,170,https://www.avito.ma/fr/californie/appartements/Appartement_170_m%C2%B2_%C3%A0_Casablanca_54643715.htm
appartement 130m² à Hayriad envente,2 240 000 DH,Rabat,"Appartements, à vendre",1,3,2,116,https://www.avito.ma/fr/hay_riad/appartements/appartement_130m%C2%B2_%C3%A0_Hayriad_envente__55453631.htm
Appartement à vendre 94 m² à Marrakech,NaN,Marrakech,"Appartements, à vendre",1,NaN,NaN,83,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_94_m%C2%B2_%C3%A0_Marrakech_54614980.htm
Résidence Premium à Kénitra,850 000 DH,Kénitra,"Appartements, à vendre",1,2,2,80,https://www.avito.ma/fr/autre_secteur/appartements/R%C3%A9sidence_Premium_%C3%A0_K%C3%A9nitra_52157216.htm
Joli appartement à louer (non meublé),13 000 DH,Casablanca,NaN,1,NaN,NaN,160,https://www.avito.ma/vi/55541761.htm
Charmant Appartement a Maârif,500 DH /Nuit,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/vi/54166672.htm
JOLI APPARTEMENT MEUBLE,12 500 DH,Rabat,NaN,1,NaN,NaN,92,https://www.avito.ma/fr/agdal/appartements/_JOLI_APPARTEMENT_MEUBLE_55177523.htm
Appartement chambre salon centre de Guiliz,600 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/gu%C3%A9liz/locations_de_vacances/Appartement_chambre_salon_centre_de_Guiliz__55594413.htm
appartement de luxe meublé a louer,9 500 DH,Casablanca,NaN,1,NaN,NaN,80,https://www.avito.ma/fr/ferme_bretone/appartements/appartement_de_luxe_meubl%C3%A9_a_louer_55627994.htm
Appartement à vendre 43 m² à Casablanca,1 000 000 DH,Casablanca,"Appartements, à vendre",1,1,1,43,https://www.avito.ma/fr/les_princesses/appartements/Appartement_%C3%A0_vendre_43_m%C2%B2_%C3%A0_Casablanca_55669969.htm
Appartement 80m A Sidi Maarouf Côte Mc Donalds,4 000 DH,Casablanca,NaN,1,NaN,NaN,80,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_80m_A_Sidi_Maarouf_C%C3%B4te_Mc_Donalds__55645689.htm
Luxe moderne Appartement exclusif à Témara Rabat,600 DH /Nuit,Temara,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/centre_ville/locations_de_vacances/Luxe_moderne_Appartement_exclusif_%C3%A0__T%C3%A9mara_Rabat__55713827.htm
Appartement avec Vue Mer et Piscine,8 000 DH,El Mansouria,NaN,1,NaN,NaN,82,https://www.avito.ma/fr/el_mansouria/appartements/Appartement_avec_Vue_Mer_et_Piscine_55660055.htm
Appartement meublé 1 er etage,250 DH /Nuit,Nador,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/centre_ville/locations_de_vacances/Appartement_meubl%C3%A9_1_er_etage_55495747.htm
Appartement meublé résidence sécurisée piscine,4 500 DH,Mohammedia,NaN,1,NaN,NaN,90,https://www.avito.ma/fr/autre_secteur/appartements/Appartement__meubl%C3%A9_r%C3%A9sidence_s%C3%A9curis%C3%A9e_piscine__55452365.htm
Appartement à louer 220 m² à Rabat,14 000 DH,Rabat,NaN,2,NaN,NaN,220,https://www.avito.ma/fr/haut_agdal/appartements/Appartement_%C3%A0_louer_220_m%C2%B2_%C3%A0_Rabat_55558282.htm
Appartement à louer 110 m² à Fès,4 800 DH,Fès,NaN,2,NaN,NaN,110,https://www.avito.ma/fr/centre/appartements/Appartement_%C3%A0_louer_110_m%C2%B2_%C3%A0_F%C3%A8s_55696791.htm
appartement à louer résidence à mehdia,900 DH /Nuit,Mehdia,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/mehdia/locations_de_vacances/appartement__%C3%A0_louer_r%C3%A9sidence_%C3%A0_mehdia_54795484.htm
Appartement meublé à vendre à Hay Mohammadi Agadir,740 000 DH,Agadir,"Appartements, à vendre",1,2,1,NaN,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_meubl%C3%A9_%C3%A0_vendre_%C3%A0_Hay_Mohammadi_Agadir_55679717.htm
Appartement meublé résidence Oisis piscine,4 500 DH,Mohammedia,NaN,1,NaN,NaN,70,https://www.avito.ma/fr/mimosas/appartements/Appartement__meubl%C3%A9_r%C3%A9sidence_Oisis_piscine__55668290.htm
Appartement avec terrasse à vendre a Kénitra,1 280 000 DH,Kénitra,"Appartements, à vendre",2,3,2,134,https://www.avito.ma/fr/maamora/appartements/Appartement_avec_terrasse_%C3%A0_vendre_a_K%C3%A9nitra_54610046.htm
appart familial sans intermédiaire climatisé,300 DH /Nuit,Tanger,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/marjane/locations_de_vacances/appart_familial_sans_interm%C3%A9diaire_climatis%C3%A9_54131212.htm
3 Appartement bien équipé familiale,200 DH /Nuit,Oujda,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/hay_zitoune/locations_de_vacances/3_Appartement_bien_%C3%A9quip%C3%A9_familiale__38756008.htm
70m2 LUXE terrasse ARRIBAT CENTER AGDAL,880 DH /Nuit,Rabat,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/agdal/locations_de_vacances/70m2_LUXE_terrasse_ARRIBAT_CENTER_AGDAL_53302319.htm
Appartement à vendre 43 m² à Marrakech,1 075 000 DH,Marrakech,"Appartements, à vendre",1,2,1,43,https://www.avito.ma/fr/majorelle/appartements/Appartement_%C3%A0_vendre_43_m%C2%B2_%C3%A0_Marrakech_55672365.htm
Appartement à vendre 94 m² à Casablanca,750 000 DH,Casablanca,"Appartements, à vendre",1,3,2,94,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_%C3%A0_vendre_94_m%C2%B2_%C3%A0_Casablanca_55613938.htm
Appartement 118 M² à vendre Quartier les crêtes,1 600 000 DH,Casablanca,"Appartements, à vendre",1,3,2,118,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/Appartement_118_M%C2%B2_%C3%A0_vendre_Quartier_les_cr%C3%AAtes___55540306.htm
appartement meuble a vendre quartier moudjahidine,2 400 000 DH,Tanger,"Appartements, à vendre",1,3,2,161,https://www.avito.ma/fr/moujahidine/appartements/appartement_meuble_a_vendre_quartier_moudjahidine__54862695.htm
Appartement meublé Mansbay piscine sécurisée,5 000 DH,Mohammedia,NaN,2,NaN,NaN,90,https://www.avito.ma/fr/mimosas/appartements/Appartement_meubl%C3%A9_Mansbay_piscine_s%C3%A9curis%C3%A9e__55477261.htm
bel appartement de Tanger corniche,450 DH /Nuit,Tanger,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/malabata/locations_de_vacances/bel_appartement_de_Tanger_corniche__55578883.htm
Appartement à vendre 108 m² à GUÉLIZ,1 120 000 DH,Marrakech,"Appartements, à vendre",1,2,2,108,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_108_m%C2%B2_%C3%A0_GU%C3%89LIZ_55724227.htm
appartement neuf marjan 2 chambres,750 000 DH,Tanger,"Appartements, à vendre",1,2,2,70,https://www.avito.ma/fr/marjane/appartements/appartement_neuf_marjan_2_chambres_55340066.htm
Appartement dans le centre de Casablanca,350 DH /Nuit,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/centre_ville/locations_de_vacances/Appartement_dans_le_centre_de_Casablanca__54855821.htm
Appartement standing ibn badis,NaN,El Jadida,"Appartements, à vendre",2,NaN,NaN,120,https://www.avito.ma/fr/centre/appartements/Appartement_standing_ibn_badis_55292923.htm
Porte Blindée Gros et Détail,3 200 DH,Bouznika,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/hamza/porte_et_fen%C3%AAtre/Porte_Blind%C3%A9e_Gros_et_D%C3%A9tail_40436946.htm
Appartement à vendre à hay Lamknsa à Casablanca,470 000 DH,Casablanca,"Appartements, à vendre",1,2,1,51,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/Appartement_%C3%A0_vendre_%C3%A0_hay_Lamknsa_%C3%A0_Casablanca_55603063.htm
3 chambres - Vue sur le golf et la piscine,1 100 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/av_mohammed_vi/locations_de_vacances/3_chambres___Vue_sur_le_golf_et_la_piscine_55322447.htm
Appartement à vendre 128 m² à Marrakech,11 500 DH,Marrakech,"Appartements, à vendre",1,2,2,128,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_128_m%C2%B2_%C3%A0_Marrakech_55635415.htm
Appart 3 chambres 3 SDB face ville verte ODYSSIA,1 280 000 DH,Casablanca,"Appartements, à vendre",1,3,3,132,https://www.avito.ma/fr/sidi_maarouf/appartements/Appart_3_chambres_3_SDB_face_ville_verte_ODYSSIA_51634164.htm
Appartement meublé Rés. Marine Royale piscine,6 500 DH,Mohammedia,NaN,2,NaN,NaN,100,https://www.avito.ma/fr/mimosas/appartements/Appartement_meubl%C3%A9_R%C3%A9s__Marine_Royale_piscine__55685461.htm
Sidi Rahal Porte blindée villa,NaN,Sidi Rahal,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/sidi_rahal/porte_et_fen%C3%AAtre/Sidi_Rahal_Porte_blind%C3%A9e_villa_50987555.htm
Appartement à vendre 125 m² à Casablanca,9 900 DH,Casablanca,"Appartements, à vendre",2,2,2,125,https://www.avito.ma/vi/53475566.htm
Porte blindee villa haute gamme,NaN,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/vi/54090741.htm
Appartement vacances avec piscine Fès,NaN,Fès,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/route_ain_chkaf/locations_de_vacances/Appartement_vacances_avec_piscine_F%C3%A8s_54834995.htm
Porte blindée villa,NaN,Rabat,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/agdal/porte_et_fen%C3%AAtre/Porte_blind%C3%A9e_villa_38709116.htm
Appartement meublée pour location,350 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/allal_el_fassi/locations_de_vacances/Appartement_meubl%C3%A9e_pour_location__55625984.htm
Appartement meublé de 176 m² à louer Souissi Rabat,NaN,Rabat,NaN,1,NaN,NaN,176,https://www.avito.ma/fr/souissi/appartements/Appartement_meubl%C3%A9_de_176_m%C2%B2_%C3%A0_louer_Souissi_Rabat_55651294.htm
joli studio en location journalière,599 DH /Nuit,Rabat,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/agdal/locations_de_vacances/joli_studio_en_location_journali%C3%A8re__54222772.htm
Appartement meublé résidence Kawtar piscines,4 000 DH,Mohammedia,NaN,1,NaN,NaN,65,https://www.avito.ma/fr/mimosas/appartements/Appartement_meubl%C3%A9_r%C3%A9sidence_Kawtar_piscines__55579212.htm
Interessante Appartement à vendre à Agadir,1 340 000 DH,Agadir,"Appartements, à vendre",1,3,2,NaN,https://www.avito.ma/fr/av_des_far/appartements/Interessante_Appartement_%C3%A0_vendre_%C3%A0_Agadir_55692590.htm
"Appart à Allal Fassi, 5min de Gueliz,WiFi Netflix",330 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/allal_el_fassi/locations_de_vacances/Appart__%C3%A0_Allal_Fassi__5min_de_Gueliz_WiFi_Netflix_55724228.htm
Appartement 109 m² à Bourgogne BOUL BOURGOUN,1 000 000 DH,Casablanca,"Appartements, à vendre",2,3,1,100,https://www.avito.ma/fr/bourgogne/appartements/Appartement_109_m%C2%B2_%C3%A0_Bourgogne_BOUL_BOURGOUN_55682958.htm
Portes blindées villas,NaN,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/sidi_maarouf/porte_et_fen%C3%AAtre/Portes_blind%C3%A9es_villas_55045578.htm
Appartement meublé au centre de Rabat,7 800 DH,Rabat,NaN,1,NaN,NaN,54,https://www.avito.ma/fr/agdal/appartements/Appartement_meubl%C3%A9_au_centre_de_Rabat_55696814.htm
Magnifique Appartment Vue sur Golf,22 000 DH,Bouskoura,NaN,3,NaN,NaN,219,https://www.avito.ma/fr/ville_verte/appartements/Magnifique_Appartment_Vue_sur_Golf_55696585.htm
JOLI Appartement meublé à Californie,6 500 DH,Casablanca,NaN,1,NaN,NaN,90,https://www.avito.ma/fr/californie/appartements/JOLI_Appartement_meubl%C3%A9_%C3%A0_Californie_55559753.htm
Appartement de luxe 88 m² à Ain sbaa,1 012 000 DH,Casablanca,"Appartements, à vendre",2,2,2,88,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_de_luxe_88_m%C2%B2_%C3%A0_Ain_sbaa_55413838.htm
Appartement trois chambres à louer,4 500 DH,Rabat,NaN,2,NaN,NaN,137,https://www.avito.ma/fr/diour_jamaa/appartements/Appartement_trois_chambres_%C3%A0_louer__55708074.htm
Bel Appartement de 83 m² près de Tachfine Centre,860 000 DH,Casablanca,"Appartements, à vendre",1,2,1,83,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Bel_Appartement_de_83_m%C2%B2_pr%C3%A8s_de_Tachfine_Centre__55671116.htm
Très belle et moderne e appart à fes,250 DH /Nuit,Fès,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/agdal/locations_de_vacances/Tr%C3%A8s_belle_et_moderne_e_appart_%C3%A0_fes__53606039.htm
Appartement à vendre 160 m² à Fès,960 000 DH,Fès,"Appartements, à vendre",1,3,2,160,https://www.avito.ma/fr/oued_f%C3%A8s/appartements/Appartement_%C3%A0_vendre_160_m%C2%B2_%C3%A0_F%C3%A8s_55703706.htm
appartement a louer avec wifi a centre ville mdiq,150 DH /Nuit,Mdiq,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/mdiq/locations_de_vacances/appartement_a_louer_avec_wifi_a_centre_ville_mdiq__50088278.htm
Appartement à louer à Ola Blanca 1,400 DH /Nuit,Sidi Rahal,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/sidi_rahal/locations_de_vacances/Appartement_%C3%A0_louer_%C3%A0_Ola_Blanca_1_53972097.htm
APPARTEMENT NEUF DE 107M² À SOKNA WA TAAMIR,1 140 000 DH,Tétouan,"Appartements, à vendre",1,2,2,107,https://www.avito.ma/fr/autre_secteur/appartements/APPARTEMENT_NEUF_DE_107M%C2%B2_%C3%80_SOKNA_WA_TAAMIR_54885326.htm
Appartement à louer 90M² à victoria Bouskoura,4 500 DH,Bouskoura,NaN,1,NaN,NaN,90,https://www.avito.ma/fr/victoria/appartements/Appartement_%C3%A0_louer_90M%C2%B2_%C3%A0_victoria_Bouskoura_55724225.htm
Jolie appartement pres de la plage,400 DH /Nuit,Rabat,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/autre_secteur/locations_de_vacances/Jolie_appartement_pres_de_la_plage_55607134.htm
Appartement à vendre 55 m² à Casablanca,1 300 000 DH,Casablanca,"Appartements, à vendre",1,1,1,55,https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_vendre_55_m%C2%B2_%C3%A0_Casablanca_55669975.htm
Porte blindée Errahma,3 200 DH,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/oulfa/porte_et_fen%C3%AAtre/Porte_blind%C3%A9e_Errahma_43099848.htm
Luxe appartement o centre,500 DH /Nuit,Mohammedia,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/centre_ville/locations_de_vacances/Luxe_appartement_o_centre__52367880.htm
appartement meublé luxe nice location vacances,199 DH /Nuit,Tanger,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/malabata/locations_de_vacances/appartement_meubl%C3%A9_luxe_nice__location_vacances__54879997.htm
Appartement à vendre 122 m² à Salé,1 500 000 DH,Salé,"Appartements, à vendre",1,3,2,122,https://www.avito.ma/fr/tabriquet/appartements/Appartement_%C3%A0_vendre_122_m%C2%B2_%C3%A0_Sal%C3%A9_55342074.htm
appartement pres zara macdo gueliz wifi,400 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/gu%C3%A9liz/locations_de_vacances/appartement_pres_zara_macdo_gueliz_wifi_55652161.htm
appartement 3 chambres salon,5 000 DH,Casablanca,NaN,1,NaN,NaN,120,https://www.avito.ma/fr/sidi_maarouf/appartements/appartement_3_chambres_salon__54884282.htm
Appartement 120m2 à Mhamid Maatalah,2 850 DH,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/m'hamid/appartements/Appartement_120m2_%C3%A0_Mhamid_Maatalah_55406995.htm
Porte Blindée Gros et Détail,3 500 DH,Temara,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/andalousse/porte_et_fen%C3%AAtre/Porte_Blind%C3%A9e_Gros_et_D%C3%A9tail_43603339.htm
Appart rez de chaussée à Mhamid Maatalah,2 500 DH,Marrakech,NaN,1,NaN,NaN,70,https://www.avito.ma/fr/m'hamid/appartements/Appart_rez_de_chauss%C3%A9e_%C3%A0_Mhamid_Maatalah_54906338.htm
Appartement 180m² en Vente à Fès,1 650 000 DH,فاس,"Appartements, à vendre",2,4,3,180,https://www.avito.ma/vi/52042881.htm
Bel appartement de 160 M2 à vendre à Maârif Casa,2 400 000 DH,Casablanca,"Appartements, à vendre",1,4,1,140,https://www.avito.ma/vi/55696216.htm
Porte Blindée Gros et Détail,NaN,Casablanca,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/bourgogne/porte_et_fen%C3%AAtre/Porte_Blind%C3%A9e_Gros_et_D%C3%A9tail_40425797.htm
Luxueux Appartement à Louer,15 600 DH,Rabat,NaN,1,NaN,NaN,104,https://www.avito.ma/fr/souissi/appartements/Luxueux_Appartement_%C3%A0_Louer__55528434.htm
Appart. à vendre 91 m² à Daoudiate Marrakech,NaN,Marrakech,"Appartements, à vendre",1,NaN,NaN,91,https://www.avito.ma/fr/daoudiate/appartements/Appart__%C3%A0_vendre_91_m%C2%B2_%C3%A0_Daoudiate_Marrakech_55613783.htm
Appartement à vendre 157 m² à Casablanca,NaN,Casablanca,"Appartements, à vendre",2,NaN,NaN,157,https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_157_m%C2%B2_%C3%A0_Casablanca_54743695.htm
Appartement à vendre 42 m² à Casablanca,900 000 DH,Casablanca,"Appartements, à vendre",1,1,1,41,https://www.avito.ma/fr/les_princesses/appartements/Appartement_%C3%A0_vendre_42_m%C2%B2_%C3%A0_Casablanca_55102908.htm
cozy studio tranquille,500 DH /Nuit,Rabat,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/haut_agdal/locations_de_vacances/cozy_studio_tranquille_55635262.htm
appartement en location familiale à Castilla,5 500 DH,Tanger,NaN,1,NaN,NaN,140,https://www.avito.ma/fr/castilla/appartements/appartement_en_location_familiale_%C3%A0_Castilla__55724220.htm
Avec 3 chambres Apprt à almaz pour location,6 500 DH,Casablanca,NaN,1,NaN,NaN,141,https://www.avito.ma/fr/sidi_maarouf/appartements/Avec_3_chambres_Apprt_%C3%A0_almaz_pour_location_55716387.htm
شقة بفرح السلام مشمشة,267 500 DH,Casablanca,"Appartements, à vendre",1,2,1,46,https://www.avito.ma/fr/oulfa/appartements/%D8%B4%D9%82%D8%A9_%D8%A8%D9%81%D8%B1%D8%AD_%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85_%D9%85%D8%B4%D9%85%D8%B4%D8%A9_55586633.htm
Appartement duplexe meubler a louer,6 800 DH,Casablanca,NaN,2,NaN,NaN,170,https://www.avito.ma/fr/roches_noires/appartements/Appartement_duplexe_meubler_a_louer_54918617.htm
Appartement à vendre à Tétouan 8800 dhs M2,NaN,Tétouan,"Appartements, à vendre",2,NaN,NaN,128,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre__%C3%A0_T%C3%A9touan_8800_dhs_M2__55627834.htm
Nouveau Appart 64m2 au quartier El Fadel,736 000 DH,Marrakech,"Appartements, à vendre",1,2,1,64,https://www.avito.ma/fr/hay_izdihar/appartements/Nouveau_Appart_64m2_au_quartier_El_Fadel_55399439.htm
appartement 2chambres McDo 2 min - Gueliz 9 min,350 DH /Nuit,Marrakech,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/route_de_safi/locations_de_vacances/appartement_2chambres_McDo_2_min___Gueliz_9_min_55299715.htm
magnifique appartement à louer,250 DH /Nuit,Agadir,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/hay_mohammadi/locations_de_vacances/magnifique_appartement_%C3%A0_louer__54574665.htm
Appartement à louer 59 m² à Deroua,NaN,Deroua,NaN,1,NaN,NaN,59,https://www.avito.ma/fr/deroua/appartements/Appartement_%C3%A0_louer_59_m%C2%B2_%C3%A0_Deroua_55724210.htm
Porte blindée villa,NaN,Settat,NaN,NaN,NaN,NaN,NaN,https://www.avito.ma/fr/settat/porte_et_fen%C3%AAtre/Porte_blind%C3%A9e_villa_55420182.htm
Appartement à vendre 84 m² à Casablanca,672 000 DH,Casablanca,"Appartements, à vendre",1,2,2,84,https://www.avito.ma/fr/errahma/appartements/Appartement_%C3%A0_vendre_84_m%C2%B2_%C3%A0_Casablanca_54961114.htm
Appartement à louer 65 m² à Rabat,NaN,Rabat,NaN,1,NaN,NaN,65,https://www.avito.ma/fr/hassan/appartements/Appartement_%C3%A0_louer_65_m%C2%B2_%C3%A0_Rabat_52598922.htm
